#META:{"version":1,"method":"GET","urlPattern":"https://sales-product-autoassign.apps.gmna.prd.cvca.atmosdt.gm.com/sales/product/autoassign/v1/vehicles/management/{{vin}}/onboarding/vehiclePurchaseOffers","headers":[{"key":"Accept-Language","value":"en-US"},{"key":"Content-Type","value":"application/json"}],"body":"","auth":{"type":"inherit"},"validationMode":"selective","unorderedArrays":true,"pathVariables":["vin"]}
name,path:vin,param:channel,param:enrollmentType,param:country,param:accountType,param:vehicleUsageCode,validate:$.offers[0].associatedOfferingCode,validate:$.offers[0].offerName,validate:$.offers[1].associatedOfferingCode,validate:$.offers[1].offerName,validate:$.offers[2].associatedOfferingCode,validate:$.offers[2].offerName,validate:$.offers[3].associatedOfferingCode,validate:$.offers[3].offerName,validate:$.offers[4].associatedOfferingCode,validate:$.offers[4].offerName,validate:$.offers[5].associatedOfferingCode,validate:$.offers[5].offerName
ONBOARD_AS_NEW-US-BN-1GKTENDEXTU601841,1GKTENDEXTU601841,WEB,ONBOARD_AS_NEW,US,BN,,ONSFCNCP36MUSUL,OnStar One - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,
ONBOARD_AS_USED-US-BN-1GKS2BKD7PR119642,1GKS2BKD7PR119642,WEB,ONBOARD_AS_USED,US,BN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_USED-US-BN-2GCUDDED7P1104069,2GCUDDED7P1104069,ADVISOR,ONBOARD_AS_USED,US,BN,,ONZRCNCP01MUSUL,OnStar One - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_NEW-US-DD-1GYKPYRL0SZ308861,1GYKPYRL0SZ308861,WEB,ONBOARD_AS_NEW,US,DD,,ONSDDNCP04MUSUL,OnStar One - 4 Months,CAGWNCP18MUCX,Connected Access - 18 Months,EVZFCNCP08YUCMX,EV Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-BN-1GTUUGELXTZ281905,1GTUUGELXTZ281905,ADVISOR,ONBOARD_AS_NEW,US,BN,,ONSFCNCP36MUSUL,OnStar One - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-BN-3GNKDARM0TS151174,3GNKDARM0TS151174,WEB,ONBOARD_AS_NEW,US,BN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,
ONBOARD_AS_NEW-US-BN-1GKS2EK8XTR301799,1GKS2EK8XTR301799,WEB,ONBOARD_AS_NEW,US,BN,,ONSFCNCP36MUSUL,OnStar One - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_USED-CA-PN-1GC40ZEL9RU302806,1GC40ZEL9RU302806,ADVISOR,ONBOARD_AS_USED,CA,PN,,ONSRCNCP01MCALM,OnStar One Super Cruise - Remarketing Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,EVZRCNCP08YUCMX,EV Access - 8 Years,,,,,,
ONBOARD_AS_USED-CA-PN-1G1PE5SB1G7110884,1G1PE5SB1G7110884,ADVISOR,ONBOARD_AS_USED,CA,PN,,ONZRCNCP01MCALM,OnStar One - Remarketing Trial - 1 Month,DARCNCP01MCA3G,WiFi Connectivity - Trial - 1 Month,CAZRCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_NEW-CA-PN-1GNEVJKS5TJ280810,1GNEVJKS5TJ280810,WEB,ONBOARD_AS_NEW,CA,PN,,ONZFCNCP01MCALM,OnStar One - Trial - 1 Month,DTZFCNCP01MCALMT,TELUS Hotspot Connectivity - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,
