#META:{"version":1,"method":"GET","urlPattern":"https://sales-product-autoassign.apps.gmna.test.cvca.atmosdt.gm.com/sales/product/autoassign/v1/vehicles/management/{{vin}}/onboarding/vehiclePurchaseOffers","headers":[{"key":"Accept-Language","value":"en-US"},{"key":"Content-Type","value":"application/json"}],"body":"","auth":{"type":"inherit"},"validationMode":"selective","unorderedArrays":true,"pathVariables":["vin"]}
name,path:vin,param:channel,param:enrollmentType,param:country,param:accountType,param:vehicleUsageCode,validate:$.offers[0].associatedOfferingCode,validate:$.offers[0].offerName,validate:$.offers[1].associatedOfferingCode,validate:$.offers[1].offerName,validate:$.offers[2].associatedOfferingCode,validate:$.offers[2].offerName,validate:$.offers[3].associatedOfferingCode,validate:$.offers[3].offerName,validate:$.offers[4].associatedOfferingCode,validate:$.offers[4].offerName,validate:$.offers[5].associatedOfferingCode,validate:$.offers[5].offerName,validate:$.offers[6].associatedOfferingCode,validate:$.offers[6].offerName
ONBOARD_AS_NEW-US-PN-1GYC3R1L9T10799D0,1GYC3R1L9T10799D0,MC_WEBRNW,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-3GN7DMRP1S10799E6,3GN7DMRP1S10799E6,MC_WEBRNW,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-1GNKD81S1S107998E,1GNKD81S1S107998E,MC_WEBRNW,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-1GN7D81P3R107998C,1GN7D81P3R107998C,MC_WEBRNW,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,IHUTRNCP08YUSUL,IHU Connectivity - 8 Years,RAZFCNCP08YUCX,Remote Access - 8 Years,APZFCNCP03YUCX,App Access - 3 Years,VMZFCNCP08YUCX,Navigation and Voice Assistant - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years
ONBOARD_AS_NEW-US-PN-1GNXDF1H0S107997E,1GNXDF1H0S107997E,WEB,ONBOARD_AS_NEW,US,PN,,PRFCNCP03YUCX,Premium Plan,DAZFCNCP03YUSUL,WiFi Connectivity - 3 Years,BAZFCNCP08YUCX,OnStar Basics - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,
ONBOARD_AS_NEW-US-PN-1G6DU1113S1079988,1G6DU1113S1079988,MC_WEBRNW,ONBOARD_AS_NEW,US,PN,,ONSFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
ONBOARD_AS_NEW-US-PN-3GP1HZ1J3S10799CC,3GP1HZ1J3S10799CC,HONDA_ADVISOR,ONBOARD_AS_NEW,US,PN,,IHUTRNCP03YUSUL,IHU Connectivity - 3 Years,SSFCNCP01MUCX,Safety & Security - Trial - 1 Month,RAZFCNCP03YUCX,Remote Access - 3 Years,APZFCNCP03YUCX,App Access - 3 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,
ONBOARD_AS_NEW-US-PN-3GP1HU1M3R1079986,3GP1HU1M3R1079986,HONDA_ADVISOR,ONBOARD_AS_NEW,US,PN,,SSFCNCP01MUCX,Safety & Security - Trial - 1 Month,RAZFCNCP03YUCX,Remote Access - 3 Years,APZFCNCP03YUCX,App Access - 3 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,,,,
ONBOARD_AS_NEW-US-PN-1GNKDL1P1S1079984,1GNKDL1P1S1079984,MC_WEBRNW,ONBOARD_AS_NEW,US,PN,,ONZFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,EVZFCNCP08YUCMX,EV Access - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,
ONBOARD_AS_NEW-US-PN-1G6DN1116S1079982,1G6DN1116S1079982,MC_WEBRNW,ONBOARD_AS_NEW,US,PN,,ONSFCNCP01MUSUL,OnStar One - Trial - 1 Month,BAZFCNCP08YUCX,OnStar Basics - 8 Years,CAZFCNCP08YUCMX,Connected Access - 8 Years,,,,,,,,
